ID_IPEDS,stabbr,highest_degree,degree_bach,public,enroll_ftug,grant_federal,year
123961,CA,9,1,0,2972,2881490.0,2010
124113,CA,4,1,1,418,1031654.0,2010
124292,CA,5,1,0,87,140555.0,2010
124487,CA,5,1,0,20,59409.0,2010
124681,CA,4,1,0,13665,60004759.0,2010
124706,CA,4,1,0,872,2859383.0,2010
124779,CA,2,1,0,23,132150.0,2010
124937,CA,3,1,0,776,2492323.0,2010
125028,CA,4,1,1,1006,1843868.0,2010
125082,CA,2,1,0,109,352683.0,2010
125091,CA,4,1,1,996,2679580.0,2010
125170,CA,4,1,1,283,439157.0,2010
125462,CA,3,1,1,267,804935.0,2010
125471,CA,4,1,1,556,1398322.0,2010
125499,CA,4,1,1,903,977475.0,2010
125532,CA,4,1,0,1436,2930865.0,2010
125727,CA,6,1,0,385,462793.0,2010
125763,CA,9,1,0,453,856335.0,2010
125897,CA,7,1,0,102,190337.0,2010
126076,CA,5,1,0,54,189533.0,2010
126119,CA,4,1,1,648,1926732.0,2010
126164,CO,4,1,0,50,160325.0,2010
126182,CO,7,1,1,557,1581443.0,2010
126207,CO,3,1,1,341,770451.0,2010
126289,CO,3,1,1,452,1100933.0,2010
126359,CO,3,1,0,176,333590.0,2010
126401,CO,3,1,0,71,289303.0,2010
126562,CO,9,1,1,1023,1637892.0,2010
126580,CO,9,1,1,1117,1504160.0,2010
126605,CO,3,1,0,123,516303.0,2010
126614,CO,9,1,1,5144,5765413.0,2010
126669,CO,7,1,0,281,387547.0,2010
126678,CO,7,1,0,536,369384.0,2010
126687,CO,3,1,0,726,2308591.0,2010
126702,CO,5,1,0,180,368748.0,2010
126711,CO,5,1,1,362,700541.0,2010
126748,CO,3,1,1,158,328974.0,2010
126775,CO,9,1,1,875,784686.0,2010
126784,CO,3,1,0,77,129187.0,2010
126818,CO,9,1,1,4324,5305095.0,2010
126827,CO,9,1,0,165,324216.0,2010
126863,CO,3,1,1,494,1231521.0,2010
126872,CO,5,1,0,171,517641.0,2010
126915,CO,2,1,1,105,146688.0,2010
126942,CO,3,1,1,870,3236658.0,2010
126951,CO,4,1,0,636,2128255.0,2010
127060,CO,9,1,0,1216,1084489.0,2010
127158,CO,2,1,1,928,665281.0,2010
127185,CO,5,1,1,833,1237211.0,2010
127200,CO,3,1,1,1544,3581207.0,2010
127219,CO,4,1,0,54,254832.0,2010
127228,CO,4,1,0,63,165426.0,2010
127316,CO,4,1,0,157,481764.0,2010
127389,CO,3,1,1,134,367175.0,2010
127556,CO,9,1,1,1831,3337348.0,2010
127565,CO,7,1,1,2023,3383406.0,2010
127617,CO,3,1,1,84,303952.0,2010
127653,CO,7,1,0,38,83602.0,2010
